id,created_at,text,source
667464699462688769,2015-11-19 22:09:19,@DGisSERIOUS @vicenews Please take Raqqa OR mosul and then boast wtf is sinjar lol they took Ramadi and palmyra,Twitter Web Client
667464600783294464,2015-11-19 22:08:56,@DGisSERIOUS @vicenews Good for you well done for taking back desert lol,Twitter Web Client
667460156125528064,2015-11-19 21:51:16,@LawyerAdamHouda God bless you brother,Twitter Web Client
667444616329830400,2015-11-19 20:49:31,@Izza_Mujahid السلام عليكم أخي يرجى حصة هذا الفيديو https://t.co/PBBLFqDIK4,Twitter Web Client
667442405315096576,2015-11-19 20:40:44,@PalmyraPioneer LOL,Twitter Web Client
667438278946213889,2015-11-19 20:24:20,@FilJannahHuriya salamu alaykum akhi please share this https://t.co/PBBLFqDIK4,Twitter Web Client
667438092073177088,2015-11-19 20:23:36,@vicenews LOL the number of people in Raqqa and Mosul hoping to join ISIS has also tripled in the past week https://t.co/PBBLFqDIK4,Twitter Web Client
667436050860679169,2015-11-19 20:15:29,https://t.co/PBBLFqDIK4 Did you know? Reynal Chatterton a famous crusader knight Templar from France ..#ParisAttacks https://t.co/RW14wLxA0k,Twitter Web Client
667433069452902401,2015-11-19 20:03:38,Did you know? https://t.co/PBBLFqDIK4 America was responsible for hideous crimes against #Humanity #USA #Abughraib https://t.co/mcpBSqKFnz,Twitter Web Client
667431770556661765,2015-11-19 19:58:29,@alogoafentis @RamiAlLolah Very simple UK US and France have been at war with Muslims for centuries Sweden Greece etc don't kill Muslims,Twitter Web Client
667431625379225600,2015-11-19 19:57:54,@alogoafentis @RamiAlLolah Well just look in Europe why does ISIS want to attack Britain France and UK but NOT Romania Greece Sweden etc,Twitter Web Client
667424114265726976,2015-11-19 19:28:03,"@alogoafentis @RamiAlLolah No there hasn't been one yet but by killing more ppl they are breeding ""radicalism""",Twitter Web Client
667422924261990402,2015-11-19 19:23:19,@RamiAlLolah What is the name of the nasheed?,Twitter Web Client
667422449668112387,2015-11-19 19:21:26,@SugarTapod @sakirkhader https://t.co/PBBLFqDIK4 French Crusade in Syria (Trailer),Twitter Web Client
667422384530526209,2015-11-19 19:21:11,@sakirkhader French Crusade in Syria https://t.co/PBBLFqDIK4,Twitter Web Client
667422331443290112,2015-11-19 19:20:58,@sakirkhader https://t.co/PBBLFqDIK4,Twitter Web Client
667422077687889926,2015-11-19 19:19:58,@RamiAlLolah Great more terrorist attacks in Netherlands they never learn from their murderous mistakes,Twitter Web Client
