id,created_at,text,source
669908778167455745,2015-11-26 16:01:13,"BREAKING\0x0AAamaq:\0x0A8 children killed as a result of air strikes on #Raqqa city today, death toll is expected to rise..\0x0A#IslamicState #IS #Syria",Twitter for iPhone
669905568140783616,2015-11-26 15:48:28,"RT @pieternanninga: Here's a piece that I wrote on the #Parisattacks: ""Paris through the eyes of IS supporters"" https://t.co/jMCNKqkOhf htt…",Twitter for iPhone
669899298977501184,2015-11-26 15:23:33,"Abu Mujahid's SVBIED vs. #SAA gathering in Mahin..\0x0AMay the Lord accept him among the martyrs! https://t.co/q1Z6123drL",Twitter for iPhone
669896939769581568,2015-11-26 15:14:11,RT @RamiAlLolah: Some Pro #Assad pages claim #YPG terror group is getting MANPADS  to counter #Turkey jets if they entered north #Syria.. #…,Twitter for iPhone
669896825156059136,2015-11-26 15:13:43,"#IS fighters destroyed a regime tank &amp; BMP using antitank Kornet missiles in the outskirts of Mahin, #IslamicState.. https://t.co/TIpWfIZ7dQ",Twitter for iPhone
669894646345179137,2015-11-26 15:05:04,"Direct hit! Allahu Akbar..\0x0A#IS rocket fired at #Peshmerga barracks.. https://t.co/dqc8qdCc05",Twitter for iPhone
669892943667445761,2015-11-26 14:58:18,"@F1ea1337 @VivaRevolt \0x0AUS intense bombardment, yes.\0x0A#TwitterKurds can't bear the reality of their cowardliness &amp; dependence on foreign aid.",Twitter for iPhone
669892222553296896,2015-11-26 14:55:26,"New #IS 4min live video of battles against #Peshmerga terrorists in Nineveh province, #Iraq.\0x0Ahttps://t.co/j3RtzGXtZx https://t.co/nXkmXj3ces",Twitter for iPhone
669885647688212481,2015-11-26 14:29:18,"#IS pounding #Peshmerga positions in Makhmur with mortar rounds, #Iraq..\0x0A#ISIS #IslamicState https://t.co/MuC6IxCTE6",Twitter for iPhone
669885030429257728,2015-11-26 14:26:51,"Aamaq News:\0x0A#IS destroyed #SAA tank and an APC in the outskirts of Mahin town, #Syria..\0x0A#IslamicState #ISIS",Twitter for iPhone
669884052783169536,2015-11-26 14:22:58,"RT @ANP99_17th: Back again after my 16th account's been suspended.\0x0APlease support. Jazakum Allah khair. https://t.co/BNKvH1cs88",Twitter for iPhone
669884043832463361,2015-11-26 14:22:56,@Adamhasakah13 https://t.co/1VHJPyIkJw,Twitter for iPhone
669883379056304129,2015-11-26 14:20:18,@Adamhasakah13 https://t.co/kUKoprNndr,Twitter for iPhone
669881671429316608,2015-11-26 14:13:30,"Aamaq:\0x0ARussian bombs hit granaries in the western district of #Raqqa province for the second day in a row.\0x0AWheat is the staple food in Syria",Twitter for iPhone
669878565786267648,2015-11-26 14:01:10,"@VivaRevolt \0x0AIf Shaddadi will ever fall, then it'll fall to USAF, not SDF or YPG whores. They can't win a single battle on their own.",Twitter for iPhone
669877207838363648,2015-11-26 13:55:46,"Photo report📷:\0x0ANew batch of #IS recruits in wilayat al-Janoub, #IslamicState..\0x0A#Iraq #ISIS\0x0A👉 https://t.co/FTHyoeeoUn https://t.co/pSWPTSbf7B",Twitter for iPhone
669874856264122368,2015-11-26 13:46:26,"@Wed465176 @C36_abh \0x0AExactly, we are speaking about the martyrdom operations akhi.",Twitter for iPhone
669873156690223104,2015-11-26 13:39:40,"RT @C36_abh: @Wed465176 @In3Is When I read the IS reports about martyrdom ops in Iraq, since more than a year already, I mostly see Shamis.",Twitter for iPhone
669873062460973056,2015-11-26 13:39:18,"@Wed465176 @C36_abh \0x0Aakhi I've been reporting SVBIED attacks everyday\0x0AWhile 90% may seem exaggerated+inaccurate, but 70% appears fair to me.",Twitter for iPhone
669872038023163904,2015-11-26 13:35:14,"@C36_abh \0x0AVery true.\0x0AMost of IS' SVBIED attacks in Iraq are carried out by Syrians.",Twitter for iPhone
669871710552854528,2015-11-26 13:33:56,"""ISIS suicide bombers r mostly brainwashed westerners"" is pure BS\0x0AThey just dont want u 2 believe that great numbers of SYRIANS r pro-Sharia",Twitter for iPhone
669871338476183554,2015-11-26 13:32:27,"following/reporting #IS news for about 2yrs now, I can confidently say that most of their istishhadien are Syrians, both in #Syria &amp; #Iraq.",Twitter for iPhone
669869542684942336,2015-11-26 13:25:19,"#IS istishhadi Abu Mujajid from Daraa carried out SVBIED attack against #SAA on the outskirts of Mahin town, #Syria. https://t.co/JuElcfKHDD",Twitter for iPhone
669865230000889856,2015-11-26 13:08:10,"#IS claims responsibility for the car bomb attack (VBIED) targeting a gathering of PMU in al-Mada'en, #Baghdad #Iraq https://t.co/6ZTGiDlIgK",Twitter for iPhone
669858428731441152,2015-11-26 12:41:09,"@MsJulieLenarz @CapSpaulding01 \0x0ABullshit.\0x0A#US wars have killed far more people than Saddam ever had.\0x0Ahttps://t.co/Ye3QSnt8fA",Twitter for iPhone
669857719420116992,2015-11-26 12:38:20,"@OzWitness13 @eastchristians \0x0Aracist Kurds+Assadists+Shia militias have been attacking/persecuting Christians.\0x0Abut only ISIS was spotlighted",Twitter for iPhone
669854344892669952,2015-11-26 12:24:55,"RT @WorldWarTerror: @khalidi4sham1 Taking US help (which OBL refused to do) screwed up the jihad in Afghanistan. Especially after the war.\0x0A…",Twitter for iPhone
669853589842632705,2015-11-26 12:21:55,"@MaghrabiArabi \0x0ATrue.\0x0AAnd instead of hiding &amp; running away, they were waiting for the jets to get lower so they can shoot 'em",Twitter for iPhone
