id,created_at,text
503246839643398144,2014-08-23 18:26:11,@AhkbarMujahid2 Perhaps they will fly that plane into you-know-who
503246010580467712,2014-08-23 18:22:53,"RT @chechisback: Shia goes to fight abroad ✔
Kurd goes to fight abroad ✔
Jew goes to fight abroad ✔
Sunni goes to fight abroad...WAIT A MIN…"
503243118133911552,2014-08-23 18:11:23,"The bombing of the Peshmerga headquarters in Kirkuk, #Iraq, killed 10 Peshmerga communist apostates and wounded at least 60."
503236064749043712,2014-08-23 17:43:22,Follow brother @SalehMunther. He is being spammed by Kuffar. Follow and ReTweet: @SalehMunther  @SalehMunther  @SalehMunther  @SalehMunther
503234937190109184,2014-08-23 17:38:53,"Example, if someone attached a thermal imager like this: http://t.co/UOIH1ThVNv to a drone, we can see US SpecOps hiding in the Iraqi desert"
503233831739334656,2014-08-23 17:34:29,2. need to build drones for military use in future. It'd help if people took this up as a hobby to build expertise: http://t.co/KkgBNhoZBT
503233500431286273,2014-08-23 17:33:10,"1. If anybody can build a drone and integrate a thermal imager to it, that would help #Muslims a lot for night-time surveillance. Muslims"
503232184208347136,2014-08-23 17:27:56,@isisnews4 @YazidMuawiya maybe the oil executives. I hope they have activated their undercover cells in Arbil now
503231944143175680,2014-08-23 17:26:59,2. dedicated to Al-Maqdisi who prohibited Muslims from targeting #Shia in #Iraq.
503231826195136512,2014-08-23 17:26:31,1. The #Shia who massacred the #Muslims in the Diyala Mosque wrote the names of the Sahabah (RA) on the feet of the Muslims. This news is
503231374284054528,2014-08-23 17:24:43,@isisnews4 @YazidMuawiya Maybe Dawlah will next time try to find out the cars of the #Americans working in Erbil and do that to them?
503231063221866496,2014-08-23 17:23:29,The pedophiles in the #Vatican just can't stop interfering with #Islamic_State matters: https://t.co/9nfUfYB49y
503230639999840256,2014-08-23 17:21:48,"RT @moslima0909: #Iraq

The first pictures of #Arbil explosion targeting Peshmerga  http://t.co/czG23P03DS"
503229424938917888,2014-08-23 17:16:59,"The explosion which hit the base of the apostate communist Peshmerga in Kirkuk, #Iraq, today (#IS #IslamicState): http://t.co/PNrNLDTgne"
503223697042599936,2014-08-23 16:54:13,"RT @dawla_support: #جديد_مؤسسة_الاعتصام
(فشرّد بهم من خلفهم)
https://t.co/2oQJ2DPs6b

المصدر:
http://t.co/Kj3sXIDGta

#الدولة_الإسلامية htt…"
503223228123607042,2014-08-23 16:52:21,The #Islamic_State have been using drones to carry out mission planning and raids into enemy bases (Pic: Base 93): http://t.co/KonAmCDE0R
503223177003429889,2014-08-23 16:52:09,The #Islamic_State have been using drones to carry out mission planning and raids into enemy bases (Pic: Base 93): http://t.co/8IpRn5JBRY
503223127921676288,2014-08-23 16:51:57,The #Islamic_State have been using drones to carry out mission planning and raids into enemy bases (Pic: Base 93): http://t.co/qBycCzPaYT
503223073580269568,2014-08-23 16:51:44,The #Islamic_State have been using drones to carry out mission planning and raids into enemy bases (Pic: Base 93): http://t.co/UgVHUmZ37T
503223003401191425,2014-08-23 16:51:28,The #Islamic_State have been using drones to carry out mission planning and raids into enemy bases (Pic: Base 93): http://t.co/SLfYvWS23F
503222948569047040,2014-08-23 16:51:15,The #Islamic_State have been using drones to carry out mission planning and raids into enemy bases (Pic: Base 93): http://t.co/tGwa8wd8Et
503217677444612097,2014-08-23 16:30:18,"RT @amustafaanbari3: #IS #ISIS
Martyrdom operation (400kg VBIED) on Large Gathering of Asa'ib Ahl Al-Baatil - Sadr City - Baghdad
ENGLISH
h…"
503214864350064640,2014-08-23 16:19:07,This Tweet perfectly summarises the kind of people the #Islamic_State are fighting from the Peshmerga: http://t.co/38gzwtjFf3
503212763574198273,2014-08-23 16:10:46,"RT @AJALive: مراسل الجزيرة: 1500 جندي إيراني دخلوا باتجاه جلولاء العراقية أمس لقتال ""الدولة الإسلامية"" وانسحبوا اليوم باتجاه الحدود لتأجيل …"
