id,created_at,text
579684732570640384,2015-03-22 16:43:04,"US tells troops to ‘check online footprint’ after ISIS ‘hit list’ goes online http://t.co/n4NqgEXDzt 

The IS hitting home with US soldiers"
579651573564989440,2015-03-22 14:31:19,Fear Allah but none!
579550052735143936,2015-03-22 07:47:54,"""Knowledge is considered to be superior over all things bc it is meant to be used for the purpose of fearing Allāh ﷻ""
 
~Sufyānuth-Thawrī"
579522099083157504,2015-03-22 05:56:50,LOL @ well said sis! 😂😂😂 a kafirah isn't your sister just bc she plays nice on the net! #spy Block block http://t.co/7ghLnEVB9u
579519535990095873,2015-03-22 05:46:38,AbooMaryamm is pure filth madkhali and a sellout moron who exposes Muslims for living! May Allah guide him or destroy him!
579456129085906944,2015-03-22 01:34:41,Shiism has nothing to do with Islam! So I ask that you refrain from associating Shiism to Islam! http://t.co/XCq5Zl0tZi
579454641248796672,2015-03-22 01:28:46,"RT @TessMonet: How's that ""black thug"" excuse for denying police brutality working for you now? #UVA #JusticeForMartese http://t.co/k5UCXv5…"
579408722604240897,2015-03-21 22:26:19,After I smashed it! I know I eat like a akh http://t.co/hyVf6FMvim
579373149004894208,2015-03-21 20:04:57,I am so tired of changing my @ name why can't these kuffar leave me alone?😱
579371632604659713,2015-03-21 19:58:56,Shaykh Hassan Hussein's support for The Khilafah http://t.co/EHKwcbxBno
579370992583237632,2015-03-21 19:56:23,RT @LetteredOwl: Hospital in #Fallujah: 2400 dead including 332 women and 184 children in government and coalition airstrikes. #Iraq http:/…
579342734089170945,2015-03-21 18:04:06,“@Media_Shami: Crusader Agent King Abdulut Of Jordan and his wife meet the Pope (1999). http://t.co/Zo9oSYXevS” to get marriage certificate😂
579332924279033856,2015-03-21 17:25:07,😂😂 http://t.co/DbasoJfyTR
579315990976135168,2015-03-21 16:17:50,North Korean ambassador claims country has nuclear missiles &amp; that it's prepared to use it if the US strikes http://t.co/fX9zCDlLsB
579293683511590912,2015-03-21 14:49:11,"U.S. pulling last of its Special Operations forces out of Yemen http://t.co/z15zC3INZ7

So when it gets tough US pulls it's troops! #typical"
579290076141731840,2015-03-21 14:34:51,Apple Admits Siri Voice Data is Being shared with Third Parties - DigitalMunition http://t.co/Ip7Z13mNRP
579286304598405120,2015-03-21 14:19:52,“@jazrawi_lizards: @Shariah_Is_Here you still mad at me though” why would I be mad at you? Sometimes you are a goofball
579269245848150016,2015-03-21 13:12:05,Wallahi the enemy of Islam is within don't look too far to find them! See anyone barking khawarij than you have found them!
579267756966707200,2015-03-21 13:06:10,Low-key ISIS supporter! Allah will make you speak the truth even if you dislike it! http://t.co/gEvm2IvVAe
579262411372392448,2015-03-21 12:44:55,"BREAKING: #Libya's recognized government launches air strike on camp in Tripoli

Keep our brothers &amp; sisters in Tripoli in your dua's"
579260129968828416,2015-03-21 12:35:51,Explain this to me? Who is paying you to employ people to take Pro #IS accounts down? Kuffar? @ShabirBurhani http://t.co/IXY2Ffv0pf
579147864200355840,2015-03-21 05:09:45,As Muslims the only constitution that We should recognize &amp; refer to for judgement is the constitution of Allah azza wajal (Shariah).
579144821492850688,2015-03-21 04:57:40,O' you who believe! fear Allah [by doing what he has ordered &amp; abstaining from all that he has forbidden] as he should be feared {3:102}
579143863559913472,2015-03-21 04:53:51,"Praise to be Allah, we praise him and seek his help and forgiveness☝️"
579140252259979264,2015-03-21 04:39:30,Sometimes your just never too old to cuddle with your mommy😍😍😍
579132731642249216,2015-03-21 04:09:37,When your family is obsessed with mufti Menk &amp; Assim &amp; your obsessed with sheikh Anwar Al-Awlaki &amp; Omar Bakri! Odd mix!😏
579128067790106624,2015-03-21 03:51:05,When ukhtis post photos of them revealing their awrah on Facebook &amp; twitter not having care in the world! Fear Allah &amp;cover your awrah!
579123995011899392,2015-03-21 03:34:54,"Islamic ring in Viking grave sheds new light on ancient ties http://t.co/plQ1VtRmoh

I like to have the ring ☺️"
579113916149678080,2015-03-21 02:54:51,"Whoever disbelieves in Taghut and believes in Allah, then he has grasped the most trustworthy handhold that will never break...[2:256]"
578976929979756544,2015-03-20 17:50:31,"I am so sick of judgmental people, subhanallah fix yourselves &amp; get off my back!"
578925993097867264,2015-03-20 14:28:07,Coconut Muslims are not apologetic of the Iraqi &amp; afghan crusade but are apologetic of those who defend themselves against the crusaders!😱
578923665372405762,2015-03-20 14:18:52,The world will cry crocodile tears for any attack so long as it's not against Sunni Muslims! Talk abt a double standards! #SunniLivesMatter
578910120211542016,2015-03-20 13:25:02,"At least 46 people killed by suicide bombs at 2 mosques in centre of Yemen's capital, Sanaa http://t.co/0S1OeyQifF http://t.co/XCS9dJrfXR"
578743568770154496,2015-03-20 02:23:13,"""To those against whom war is made, permission is given to fight, bc they are wronged, &amp; verily Allah is most powerful for their aid."" 22:39"
578741780851634176,2015-03-20 02:16:07,"Allah says ""There has certainly been for you in the Messenger of Allah an excellent exemplar for anyone whose hope is in Allah.."" [Ahzab 21]"
578737428955049984,2015-03-20 01:58:50,"""We need to separate ourselves from Israel, it's enormous drag &amp; a cancer on American foreign policy""

~Michael Scheuer"
578735219198550016,2015-03-20 01:50:03,"The believers have defeated the first self-proclaimed superpower the ""Soviet Union"" and I am certain it will do it again bi'itnillah!"
578722856311263232,2015-03-20 01:00:55,"I laugh when America calls itself ""SuperPower"" 

Ya Harami the only SuperPower is Allah"
578721595407007745,2015-03-20 00:55:55,What's so scientific about this tweet? People live up to your @s man http://t.co/zHMhjywTTr
578716302702841857,2015-03-20 00:34:53,The war on terror will never be won! How can they win against terror when it's in their hearts!!! #MISSIONIMPOSSIBLE
578712457545314304,2015-03-20 00:19:36,"Allah says ""&amp; when my servants ask you [O Muhammad], concerning Me-indeed I am near. I respond to the invocation of the supplicant.."" 1:186"
578694871164190720,2015-03-19 23:09:43,These kuffar man why are they arresting our only ulimah who are on haqq! Glad he was released!May Allah protect him http://t.co/83S48CUJMu
578693339714707457,2015-03-19 23:03:38,Where are all the low-Key Baqiya's 😂
578673624472793088,2015-03-19 21:45:17,I hate putting gas in my car! Where are my Mahrams when i need them😭😭
578652811556184064,2015-03-19 20:22:35,This is me at work right now! http://t.co/yWqaLuvlLA
578626942057865216,2015-03-19 18:39:48,it's mid-day and I am already sleepy😴
578537646953259009,2015-03-19 12:44:58,Allah puts terror into the hearts of the disbelievers forsaking them while he makes the hearts &amp; feet of the believers steadfast!☝️
578532055903907840,2015-03-19 12:22:45,"Allah says ""we will cast terror into the hearts of those who disbelieve for what they have associated with Allah""  [151]"
578408048852516865,2015-03-19 04:09:59,When twitter suspends me http://t.co/AxOuIXiKcJ
578407677572698112,2015-03-19 04:08:31,I am always trying to take selfies ☺️ http://t.co/mze3ICPFYh
578402522437566465,2015-03-19 03:48:02,"This ummah isn't weak its strong, its resourceful but rather we are weak in our iman, which is a problem we are faced with as a ummah today!"
